,년도,1회,초범율,2회,2회차율,재범자수,재범률
0,2010,179086,59.161499403713826,79314,26.20157445979115,44307,14.636926136495026
1,2011,151488,58.66784398926468,67195,26.023089464899137,39530,15.309066545836188
2,2012,142803,57.98329563956911,63990,25.98230490939285,39490,16.034399451038034
3,2013,154992,57.43933352110171,69863,25.890911516624914,44981,16.66975496227338
4,2014,142258,56.49911830587637,64813,25.741099655265543,44717,17.759782038858088
5,2015,135096,55.572192513368975,63018,25.922665569724394,44986,18.505141916906624
6,2016,125736,55.48832960427893,57666,25.448479472548424,43197,19.063190923172655
7,2017,114585,55.84418116157457,51130,24.918732668248964,39472,19.23708617017647
8,2018,90168,55.29743652643199,40648,24.92824727094321,32244,19.7743162026248
9,2019,73572,56.259749793533786,31487,24.077784235157374,25713,19.662465971308844
10,2020,64229,54.640192600532544,28347,24.11504989408672,24973,21.244757505380736
11,2021,64300,55.48747864206693,27355,23.60590945962272,24227,20.906611898310352
12,2022,75245,57.75504094931803,29676,22.778106122824926,25362,19.46685292785705
13,2023,75143,57.73568958893585,29445,22.623895505186322,25562,19.640414905877833
14,2024,65755,56.18116728325971,27664,23.636161686930222,23622,20.182671029810066
