행정구역별,년도,음주운전사고수,전체교통사고수,음주운전사고율
전국,2010,28641,226878,0.12623965302938142
서울특별시,2010,3910,41662,0.09385051125726081
부산광역시,2010,1169,13847,0.08442261861775113
대구광역시,2010,1510,14600,0.10342465753424658
인천광역시,2010,1439,10305,0.13964095099466278
광주광역시,2010,1167,8894,0.13121205306948505
대전광역시,2010,792,5870,0.13492333901192505
울산광역시,2010,744,5067,0.14683244523386618
세종특별자치시,2010,0,0,
경기도,2010,7163,43963,0.16293246593726543
강원특별자치도,2010,1310,9026,0.14513627298914247
충청북도,2010,986,8571,0.11503908528759771
충청남도,2010,1783,9282,0.19209222150398622
전북특별자치도,2010,1177,10453,0.11259925380273605
전라남도,2010,1462,10949,0.13352817608914055
경상북도,2010,2090,16498,0.1266820220632804
경상남도,2010,1590,14274,0.11139134089953762
제주특별자치도,2010,349,3617,0.09648880287531103
전국,2011,28461,221711,0.12836981475885273
서울특별시,2011,3700,40451,0.09146869051444959
부산광역시,2011,1155,13893,0.0831353919239905
대구광역시,2011,1417,14679,0.09653246133932829
인천광역시,2011,1562,10096,0.1547147385103011
광주광역시,2011,1104,8328,0.13256484149855907
대전광역시,2011,849,6062,0.14005278785879247
울산광역시,2011,839,4913,0.17077142275595358
세종특별자치시,2011,0,0,
경기도,2011,7120,43655,0.16309701065170085
강원특별자치도,2011,1265,9206,0.13741038453182708
충청북도,2011,1260,8696,0.14489420423183072
충청남도,2011,1760,8833,0.199252801992528
전북특별자치도,2011,1083,10194,0.10623896409652737
전라남도,2011,1354,10070,0.13445878848063555
경상북도,2011,2157,15315,0.14084231145935358
경상남도,2011,1486,13861,0.10720727220258279
제주특별자치도,2011,350,3459,0.1011853136744724
전국,2012,29093,223656,0.13007922881568124
서울특별시,2012,3819,40829,0.09353645693012319
부산광역시,2012,1226,14733,0.08321455236543814
대구광역시,2012,1395,14422,0.09672722229926502
인천광역시,2012,1499,9757,0.15363328892077482
광주광역시,2012,1207,8600,0.14034883720930233
대전광역시,2012,930,5631,0.16515716568993075
울산광역시,2012,900,4950,0.18181818181818182
세종특별자치시,2012,50,218,0.22935779816513763
경기도,2012,7180,44763,0.16040033063020798
강원특별자치도,2012,1234,8958,0.13775396293815584
충청북도,2012,1233,8636,0.14277443260768874
충청남도,2012,1782,8289,0.21498371335504887
전북특별자치도,2012,1193,9948,0.11992360273421793
전라남도,2012,1344,10190,0.13189401373895976
경상북도,2012,2051,15597,0.13149964736808362
경상남도,2012,1592,14266,0.11159399971961306
제주특별자치도,2012,458,3869,0.1183768415611269
전국,2013,26589,215354,0.12346647844943674
서울특별시,2013,3550,39439,0.09001242425010776
부산광역시,2013,1166,12606,0.0924956369982548
대구광역시,2013,1281,13680,0.09364035087719298
인천광역시,2013,1331,8990,0.14805339265850945
광주광역시,2013,1058,8036,0.13165754106520658
대전광역시,2013,931,5462,0.17045038447455144
울산광역시,2013,871,5022,0.173436877737953
세종특별자치시,2013,78,445,0.1752808988764045
경기도,2013,6543,43900,0.14904328018223234
강원특별자치도,2013,1066,8529,0.12498534412006097
충청북도,2013,1162,8501,0.13668980119985885
충청남도,2013,1529,7899,0.1935688061779972
