연도,연령대,음주사고수,인구수,음주율,음주자수,음주사고율
2015,20대이하,539,10148392,0.16699999999999998,1694781,0.00031803519156752404
2015,20대,5312,6796396,0.892,6062385,0.0008762228067006632
2015,30대,5983,7738472,0.8320000000000001,6438409,0.0009292668421655102
2015,40대,6307,8726984,0.8290000000000001,7234670,0.0008717743863921921
2015,50대,4607,8220296,0.743,6107680,0.0007542962303198595
2015,60대이상,1654,9438835,0.547,5163043,0.00032035371388539665
2016,20대이하,477,9906252,0.15,1485938,0.0003210093557066311
2016,20대,4435,6860964,0.892,6119980,0.0007246755708351988
2016,30대,5028,7631784,0.858,6548071,0.000767859725406154
2016,40대,4817,8645329,0.8240000000000001,7123751,0.0006761887101331868
2016,50대,3579,8319444,0.765,6364375,0.000562349013060984
2016,60대이상,1433,9905781,0.539,5339216,0.00026839146421497087
2017,20대이하,441,9604892,0.161,1546388,0.00028518069203847937
2017,20대,4363,6925447,0.893,6184424,0.0007054820303394463
2017,30대,4722,7518454,0.87,6541055,0.0007219018950306946
2017,40대,4544,8570005,0.853,7310214,0.0006215960298836669
2017,50대,3840,8380783,0.753,6310730,0.0006084874491540599
2017,60대이상,1607,10422926,0.5579999999999999,5815993,0.0002763070725841658
2018,20대이하,375,9315774,0.16899999999999998,1574366,0.00023819111947285447
2018,20대,4297,7004966,0.8759999999999999,6136350,0.0007002534079705362
2018,30대,4632,7446677,0.863,6426482,0.0007207675988200076
2018,40대,4285,8408883,0.845,7105506,0.0006030534630468259
2018,50대,3880,8515725,0.75,6386794,0.0006075035455973686
2018,60대이상,1912,10937487,0.57,6234368,0.0003066870611423644
2019,20대이하,390,9029521,0.15,1354428,0.00028794443115470145
2019,20대,3669,7026161,0.898,6309493,0.0005815047262910031
2019,30대,3651,7304423,0.858,6267195,0.0005825572684430595
2019,40대,3357,8304629,0.826,6859624,0.0004893854240407346
2019,50대,3012,8608070,0.73,6283891,0.0004793208539104195
2019,60대이상,1629,11506399,0.5579999999999999,6420571,0.00025371575207251815
2020,20대이하,382,8703718,0.107,931298,0.0004101802001078065
2020,20대,3691,7031016,0.877,6166201,0.000598585741853047
2020,30대,3878,7106801,0.8590000000000001,6104742,0.0006352438809043854
2020,40대,3702,8232362,0.813,6692910,0.0005531226327561554
2020,50대,3673,8582699,0.747,6411276,0.0005728968773142819
2020,60대이상,1921,12172540,0.526,6402756,0.00030002705085122717
2021,20대이하,256,8400770,0.107,898882,0.0002847982271310361
2021,20대,3080,6886781,0.8859999999999999,6101688,0.0005047783498599076
2021,30대,3290,6954619,0.847,5890562,0.0005585205622146071
2021,40대,3247,8115933,0.789,6403471,0.0005070687444356349
2021,50대,3182,8575549,0.73,6260151,0.0005082944484885428
2021,60대이상,1839,12804419,0.508,6504645,0.000282721040118254
