시도,시군구,2010_사고[건],2010_사망[명],2010_부상[명],2010_(중상자[명]),2011_사고[건],2011_사망[명],2011_부상[명],2011_(중상자[명]),2012_사고[건],2012_사망[명],2012_부상[명],2012_(중상자[명]),2013_사고[건],2013_사망[명],2013_부상[명],2013_(중상자[명]),2014_사고[건],2014_사망[명],2014_부상[명],2014_(중상자[명])
합계,합계,28641,781,51364,15085,28460,733,51133,13900,29092,814,52345,13441,26589,727,47711,12008,24043,592,42772,10227
합계,종로구,93,2,176,49,75,1,148,32,89,1,176,36,86,2,136,35,74,0,138,32
합계,중구,76,0,140,38,74,1,139,33,84,1,159,29,68,0,122,33,64,2,98,30
합계,용산구,104,4,187,54,118,1,208,66,99,1,202,54,131,4,227,61,108,1,199,48
합계,성동구,85,3,146,54,99,1,187,50,100,1,179,46,94,0,160,38,121,1,245,52
합계,동대문구,135,2,226,66,130,0,235,57,143,2,265,68,119,1,195,42,122,3,210,56
합계,성북구,132,0,229,64,110,2,188,28,101,1,160,39,118,1,188,53,103,2,174,51
합계,도봉구,85,2,168,39,71,2,129,29,78,2,141,30,75,1,116,29,56,2,90,21
합계,은평구,119,0,228,56,105,1,196,55,109,2,182,30,86,0,132,29,79,1,142,39
합계,서대문구,92,5,167,43,92,1,149,43,94,1,163,39,67,0,149,32,84,0,120,35
합계,마포구,217,4,408,123,176,2,328,103,167,3,328,95,214,1,428,105,187,0,364,91
합계,강서구,158,1,263,70,164,1,311,88,161,1,283,67,158,1,284,54,150,1,279,50
합계,구로구,171,4,295,73,193,3,328,65,209,5,385,74,175,0,322,72,157,1,266,59
합계,영등포구,217,1,411,91,231,1,450,98,215,0,403,114,174,1,337,83,193,0,338,76
합계,동작구,95,2,160,36,117,1,188,68,124,0,212,49,111,1,187,39,72,0,118,30
합계,관악구,178,0,339,66,167,2,289,61,134,1,218,52,149,1,262,53,124,2,213,49
합계,강남구,463,9,881,243,478,5,933,206,522,4,970,249,468,5,910,200,426,0,766,155
합계,강동구,122,1,227,75,113,2,236,54,105,3,187,56,111,5,198,37,110,2,212,53
합계,송파구,267,1,511,149,251,3,451,104,284,2,504,109,249,2,452,117,241,4,436,96
합계,서초구,215,6,421,96,223,4,407,91,253,3,515,121,229,2,470,109,212,0,398,91
합계,양천구,129,0,240,65,106,4,187,48,118,1,234,68,119,2,242,61,128,0,247,59
합계,중랑구,163,3,281,69,115,1,204,39,114,1,223,48,114,1,195,41,106,1,186,50
합계,노원구,189,4,334,85,128,2,246,66,125,0,240,55,114,4,209,57,103,3,161,28
합계,광진구,161,4,274,79,160,4,280,57,167,3,305,67,138,2,255,60,150,1,291,45
합계,강북구,123,0,225,59,85,0,183,46,100,0,170,38,79,0,156,39,94,1,161,38
합계,금천구,121,4,222,46,119,4,217,67,124,2,229,47,104,2,203,34,97,2,187,29
합계,중구,18,1,30,13,31,0,50,19,33,0,58,18,20,0,28,9,17,1,34,10
합계,서구,25,2,42,17,36,0,69,23,27,0,47,19,30,0,53,18,26,0,37,13
합계,동구,35,2,45,16,41,3,69,19,35,1,75,23,40,0,70,26,24,1,41,15
합계,영도구,17,0,30,9,7,0,17,7,14,0,26,11,25,0,33,7,14,0,26,5
합계,진구,130,2,242,79,101,2,186,71,128,1,229,82,113,3,199,70,122,2,202,35
합계,동래구,77,0,133,50,99,4,164,61,100,2,186,51,84,2,149,48,67,2,138,43
합계,남구,45,0,84,14,60,0,104,36,79,1,128,35,71,1,129,42,67,2,121,40
합계,북구,99,0,171,64,67,1,114,23,78,2,149,39,72,1,138,32,55,2,90,26
합계,해운대구,153,2,281,102,171,4,316,110,158,5,297,107,139,2,259,79,144,2,251,65
합계,사하구,128,2,214,71,92,1,155,43,107,0,184,46,96,0,160,37,83,2,168,48
합계,금정구,72,1,133,48,58,1,108,32,71,2,105,41,66,1,113,34,51,0,88,26
합계,강서구,66,3,110,53,69,5,108,37,77,6,127,39,81,3,120,53,61,4,114,38
합계,연제구,54,4,89,38,81,0,143,62,77,1,145,49,76,2,139,46,58,0,115,28
합계,수영구,53,0,114,46,73,0,131,41,79,0,134,54,79,1,137,42,60,0,112,40
합계,사상구,122,3,198,83,106,3,194,64,99,7,183,52,110,3,217,63,63,0,120,26
합계,기장군,75,4,144,58,63,3,114,42,63,3,99,38,64,6,101,25,84,4,152,48
합계,중구,75,0,129,41,88,1,161,34,91,0,181,56,89,0,151,31,85,0,156,33
합계,동구,180,3,301,76,165,1,295,74,168,5,290,72,160,3,273,71,141,4,253,52
합계,서구,137,3,219,57,134,7,234,51,127,5,199,48,120,0,208,45,125,1,231,51
합계,남구,108,2,189,53,98,1,170,51,80,3,122,30,99,0,174,32,84,2,166,41
합계,북구,270,7,489,124,270,3,469,109,259,5,459,87,228,2,398,99,197,7,323,58
합계,수성구,279,8,469,149,226,1,409,131,240,10,432,144,197,3,364,97,183,4,344,85
합계,달서구,385,7,693,186,346,1,623,138,338,1,587,139,314,2,572,112,311,2,572,99
합계,달성군,76,5,127,55,90,4,146,44,92,4,162,35,74,5,125,43,93,6,132,46
합계,중구,75,2,141,48,94,1,173,52,86,10,135,35,82,1,155,50,68,1,139,37
합계,동구,17,0,31,10,26,0,45,5,27,0,52,16,27,0,54,13,18,0,43,10
합계,미추홀구,268,0,550,153,270,3,506,100,238,3,453,79,205,2,404,69,166,1,335,60
합계,부평구,254,1,491,140,258,1,469,138,263,5,505,135,189,1,351,86,197,1,372,82
합계,남동구,292,5,538,155,311,3,584,137,326,8,621,168,267,2,516,138,244,2,458,93
합계,서구,216,2,384,113,241,4,460,124,242,3,465,116,249,8,488,112,203,3,361,75
합계,연수구,126,3,234,89,142,2,304,89,127,1,258,64,146,1,266,63,124,0,261,48
합계,계양구,145,1,242,73,161,0,280,78,145,2,245,73,106,0,189,55,126,1,262,65
합계,강화군,33,6,62,26,40,0,72,25,27,3,47,13,38,2,56,35,25,2,42,20
합계,옹진군,13,1,30,9,19,1,30,11,18,3,30,7,22,2,43,8,9,0,16,4
합계,동구,67,0,134,13,72,0,135,18,86,1,157,22,75,1,138,17,55,1,99,6
합계,서구,333,3,618,55,314,0,614,57,322,5,616,57,276,3,557,55,223,0,468,32
합계,북구,350,5,638,67,308,2,572,54,341,3,670,60,290,8,575,57,272,2,538,55
합계,광산구,286,5,560,68,292,10,514,50,339,5,654,61,312,7,594,71,281,5,533,48
합계,남구,131,2,245,37,118,1,233,16,119,2,219,14,105,1,215,26,82,2,158,21
합계,동구,134,4,241,39,132,2,249,46,147,2,266,36,161,2,304,56,102,1,218,33
합계,중구,159,2,305,57,185,3,397,71,170,3,331,48,133,2,238,43,126,1,216,39
합계,서구,239,3,471,84,260,5,533,110,327,1,672,126,336,5,608,101,268,3,485,118
합계,유성구,144,4,254,73,164,4,301,78,158,3,284,63,172,1,310,56,166,4,303,62
합계,대덕구,116,4,214,49,108,2,183,28,128,1,215,48,129,4,220,49,89,5,147,34
합계,중구,135,3,226,81,128,2,197,55,138,2,258,64,132,7,213,67,142,2,243,57
합계,남구,277,2,462,177,298,5,527,183,301,4,530,181,310,2,545,154,312,5,552,124
합계,동구,83,0,132,51,97,4,157,48,115,4,178,60,117,11,160,50,100,4,166,42
합계,북구,117,4,211,79,145,5,250,84,160,5,294,83,140,3,270,84,134,4,237,58
합계,울주군,132,5,210,100,171,6,267,93,186,6,296,91,172,6,256,84,186,6,291,97
합계,세종시,-,-,-,-,-,-,-,-,50,2,70,26,78,6,134,46,81,7,138,48
