시도,시군구,2020_사고[건],2020_사망[명],2020_부상[명],2021_사고[건],2021_사망[명],2021_부상[명],2022_사고[건],2022_사망[명],2022_부상[명],2023_사고[건],2023_사망[명],2023_부상[명],2024_사고[건],2024_사망[명],2024_부상[명]
합계,합계,17247,287,28063,14894,206,23653,15059,214,24261,13042.0,159.0,20628.0,11037,138,17110
합계,종로구,47,0,71,45,0,74,56,0,87,52.0,0.0,73.0,36,0,54
합계,중구,49,2,64,43,0,78,45,0,73,37.0,0.0,55.0,30,1,43
합계,용산구,65,0,105,72,0,118,94,3,148,64.0,2.0,114.0,73,1,115
합계,성동구,80,0,132,87,2,142,71,1,105,50.0,0.0,102.0,52,0,82
합계,동대문구,76,0,120,42,1,64,58,0,77,56.0,1.0,74.0,26,0,37
합계,성북구,54,1,97,55,1,86,59,0,90,37.0,0.0,50.0,36,1,47
합계,도봉구,39,0,66,37,0,78,40,0,69,44.0,0.0,72.0,27,1,48
합계,은평구,72,0,114,53,1,83,69,1,118,56.0,1.0,80.0,53,0,77
합계,서대문구,44,1,76,44,0,68,56,0,86,34.0,0.0,41.0,34,0,59
합계,마포구,88,0,166,100,1,168,119,0,208,104.0,0.0,168.0,93,0,149
합계,강서구,120,0,181,119,0,193,137,3,227,89.0,0.0,158.0,85,0,127
합계,구로구,119,1,207,102,3,163,83,0,148,94.0,2.0,149.0,74,1,130
합계,영등포구,129,1,221,115,5,202,146,6,226,111.0,0.0,201.0,85,0,135
합계,동작구,86,1,142,54,1,76,72,0,113,58.0,0.0,102.0,47,0,73
합계,관악구,91,1,130,73,0,102,72,1,115,76.0,0.0,107.0,57,1,81
합계,강남구,343,3,614,281,1,446,368,1,601,263.0,0.0,392.0,225,1,353
합계,강동구,63,0,100,66,0,100,82,2,144,54.0,0.0,78.0,43,1,61
합계,송파구,148,2,243,139,0,220,155,1,262,145.0,1.0,245.0,118,0,174
합계,서초구,165,0,281,123,2,191,165,1,299,159.0,0.0,275.0,98,0,174
합계,양천구,79,0,128,76,0,126,68,0,123,65.0,0.0,103.0,61,0,110
합계,중랑구,67,0,92,65,2,101,60,1,109,57.0,0.0,98.0,53,2,85
합계,노원구,86,0,132,76,1,116,93,2,149,79.0,1.0,133.0,51,2,79
합계,광진구,83,0,138,72,0,120,66,0,128,57.0,0.0,82.0,52,0,87
합계,강북구,44,1,73,54,1,77,42,0,68,36.0,0.0,61.0,27,0,48
합계,금천구,90,2,124,66,1,115,72,0,131,61.0,0.0,100.0,40,0,69
합계,중구,10,0,15,16,0,24,15,0,21,11.0,0.0,17.0,16,0,19
합계,서구,21,0,30,20,0,27,22,0,40,18.0,0.0,25.0,14,0,24
합계,동구,29,1,45,10,0,19,25,0,45,19.0,1.0,33.0,15,0,21
합계,영도구,19,0,31,19,0,28,14,0,23,16.0,0.0,32.0,10,0,20
합계,진구,112,0,191,87,0,139,100,1,153,73.0,0.0,104.0,65,0,114
합계,동래구,51,0,70,41,2,58,38,0,60,40.0,1.0,51.0,34,0,49
합계,남구,52,0,72,35,0,41,30,0,48,41.0,0.0,60.0,32,0,49
합계,북구,52,1,78,38,1,49,47,1,78,39.0,0.0,59.0,32,0,43
합계,해운대구,81,1,135,82,2,142,53,1,77,61.0,1.0,95.0,46,2,67
합계,사하구,60,0,96,51,0,80,60,1,100,49.0,1.0,70.0,48,0,82
합계,금정구,37,0,68,36,0,60,33,1,51,40.0,1.0,57.0,41,0,65
합계,강서구,42,0,68,51,0,88,55,1,85,55.0,0.0,96.0,40,1,55
합계,연제구,34,1,50,28,0,47,36,1,58,25.0,0.0,40.0,31,0,49
합계,수영구,40,0,62,36,1,58,43,0,72,40.0,1.0,56.0,49,0,82
합계,사상구,55,0,91,47,1,74,33,2,46,29.0,0.0,50.0,20,0,27
합계,기장군,47,1,85,40,1,58,44,1,69,34.0,0.0,61.0,40,0,69
합계,중구,54,0,98,39,1,65,42,0,76,41.0,0.0,71.0,31,0,53
합계,동구,81,0,139,78,0,133,81,1,121,72.0,1.0,133.0,51,0,81
합계,서구,59,1,104,57,1,96,52,1,86,53.0,0.0,86.0,47,0,82
합계,남구,68,0,127,35,0,57,49,0,83,23.0,0.0,35.0,24,0,34
