,,"Penalties for drink driving, repeated offense","Penalties for drink driving, repeated offense","Penalties for drink driving, repeated offense","Penalties for drink driving, repeated offense","Penalties for drink driving, repeated offense","Penalties for drink driving, repeated offense","Penalties for drink driving, repeated offense","Penalties for drink driving, repeated offense"
"Countries, territories and areas","Year","Community service","Detention short- or long-term","Fines","Ignition interlocks (alcolocks)","License suspended/ revoked","Mandatory treatment","Penalty points","Vehicle impounded"
"Afghanistan","2016","","Yes","Yes","No","No","No","No","No"
"Albania","2016","No","No","No","No","Yes","No","No","No"
"Algeria","2016","No","Yes","Yes","No","Yes","Yes","No","Yes"
"Andorra","2016","No","Yes","Yes","No","Yes","Yes","No","No"
"Angola","2016","No","No","Yes","No","Yes","No","No","No"
"Antigua and Barbuda","2016","No","No","Yes","No","Yes","No","No","No"
"Argentina","2016","Yes","No","Yes","No","Yes","Yes","No","Yes"
"Armenia","2016","No","No","Yes","No","Yes","No","No","Yes"
"Australia","2016","Yes","Yes","Yes","No","","Yes","Yes","Yes"
"Austria","2016","No","No","Yes","No","Yes","Yes","Yes","No"
"Azerbaijan","2016","No","No","Yes","No","Yes","No","No","No"
"Bahamas","2016","No","Yes","Yes","No","No","No","No","No"
"Bahrain","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Bangladesh","2016","No","Yes","Yes","No","Yes","No","Yes","Yes"
"Barbados","2016","No","No","No","No","No","No","No","No"
"Belarus","2016","No","No","Yes","No","Yes","No","No","Yes"
"Belgium","2016","Yes","Yes","Yes","Yes","Yes","No data","No","Yes"
"Belize","2016","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"Benin","2016","No","No","Yes","No","Yes","No","No","No"
"Bhutan","2016","No","No","Yes","No","Yes","No","No","No"
"Bolivia (Plurinational State of)","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Bosnia and Herzegovina","2016","No","No","Yes","No","Yes","Yes","Yes","No"
"Botswana","2016","No","Yes","Yes","No","Yes","No","No","No"
"Brazil","2016","No","No","Yes","No","Yes","Yes","Yes","Yes"
"Brunei Darussalam","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Bulgaria","2016","No","Yes","Yes","No","Yes","No","Yes","No"
"Burkina Faso","2016","No","Yes","Yes","No","No","Yes","No","No"
"Burundi","2016","No","Yes","Yes","No","Yes","No","No","No"
"Cote d'Ivoire","2016","No","Yes","Yes","No","Yes","No","No","No"
"Cabo Verde","2016","No","Yes","Yes","No","No","No","No","No"
"Cambodia","2016","No","Yes","Yes","No","No","No","No","Yes"
"Cameroon","2016","No","Yes","Yes","No","Yes","No","No","Yes"
"Canada","2016","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Central African Republic","2016","No","Yes","No","No","No","No","No","No"
"Chad","2016","No","Yes","Yes","No","No","Yes","Yes","Yes"
"Chile","2016","No","Yes","Yes","No","Yes","No","No","No"
"China","2016","No","Yes","Yes","No","Yes","Yes","Yes","No"
"Colombia","2016","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"Comoros","2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Congo","2016","No","No","Yes","No","No","No","No","Yes"
"Cook Islands","2016","No","Yes","Yes","No","Yes","Yes","Yes","No"
"Costa Rica","2016","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Croatia","2016","No","Yes","Yes","No","Yes","Yes","Yes","No"
"Cuba","2016","No","No","Yes","No","No","Yes","Yes","No"
"Cyprus","2016","No","Yes","Yes","No","Yes","No","Yes","No"
"Czechia","2016","No","Yes","Yes","No","Yes","No","Yes","No"
"Democratic People's Republic of Korea","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo","2016","No","Yes","Yes","No","Yes","No","No","Yes"
"Denmark","2016","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"Djibouti","2016","No","Yes","No","No data","Yes","No","No","No"
"Dominica","2016","No","No","No","No","No","No","No","No"
"Dominican Republic","2016","No","Yes","Yes","No","Yes","No","No","No"
"Ecuador","2016","No","Yes","Yes","No","Yes","No","Yes","Yes"
"Egypt","2016","No","Yes","Yes","No","Yes","No","No","No"
"El Salvador","2016","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"Equatorial Guinea","2016","No","No","Yes","No","No","No","Yes","No"
"Eritrea","2016","No","Yes","Yes","No","Yes","No","Yes","No"
"Estonia","2016","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Eswatini","2016","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Ethiopia","2016","No","No","Yes","No","No","No","Yes","No"
"Fiji","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Finland","2016","Yes","Yes","Yes","No","Yes","No","No","Yes"
"France","2016","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Gabon","2016","No","Yes","Yes","No","No","No","No","No"
"Gambia","2016","No","Yes","Yes","No","Yes","No","No","Yes"
"Georgia","2016","No","Yes","Yes","No","Yes","No","No","Yes"
"Germany","2016","No","No","Yes","No","Yes","Yes","Yes","No"
"Ghana","2016","No","Yes","No","No","Yes","Yes","Yes","Yes"
"Greece","2016","No","Yes","Yes","No","Yes","No","Yes","Yes"
"Grenada","2016","No","Yes","Yes","No","Yes","No","Yes","No"
"Guatemala","2016","No","No","No","No","No","No","No","No"
"Guinea","2016","No","Yes","Yes","No","No","Yes","No","Yes"
"Guinea-Bissau","2016","No","No","Yes","No","No","No","No","No"
"Guyana","2016","No","Yes","Yes","No","Yes","No","No","No"
"Haiti","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Honduras","2016","No","Yes","Yes","No","Yes","No","No","Yes"
"Hungary","2016","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"Iceland","2016","No","Yes","Yes","No","Yes","Yes","No","Yes"
"India","2016","No data","Yes","No","No data","Yes","No","No","Yes"
"Indonesia","2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Iran (Islamic Republic of)","2016","No","No","Yes","No","Yes","Yes","Yes","Yes"
"Iraq","2016","No data","Yes","Yes","No data","No data","No data","No data","Yes"
"Ireland","2016","No","Yes","Yes","No","Yes","No","Yes","Yes"
"Israel","2016","Yes","No","Yes","No","Yes","No","Yes","Yes"
"Italy","2016","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Jamaica","2016","No","Yes","Yes","No","Yes","No","Yes","No"
"Japan","2016","No","Yes","Yes","No","","No","Yes","No"
