"1당음주정도별(1)","1당음주정도별(2)",주야별(1),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"1당음주정도별(1)","1당음주정도별(2)",주야별(1),전체,전체,전체,1월,1월,1월,2월,2월,2월,3월,3월,3월,4월,4월,4월,5월,5월,5월,6월,6월,6월,7월,7월,7월,8월,8월,8월,9월,9월,9월,10월,10월,10월,11월,11월,11월,12월,12월,12월,전체,전체,전체,1월,1월,1월,2월,2월,2월,3월,3월,3월,4월,4월,4월,5월,5월,5월,6월,6월,6월,7월,7월,7월,8월,8월,8월,9월,9월,9월,10월,10월,10월,11월,11월,11월,12월,12월,12월,전체,전체,전체,1월,1월,1월,2월,2월,2월,3월,3월,3월,4월,4월,4월,5월,5월,5월,6월,6월,6월,7월,7월,7월,8월,8월,8월,9월,9월,9월,10월,10월,10월,11월,11월,11월,12월,12월,12월,전체,전체,전체,1월,1월,1월,2월,2월,2월,3월,3월,3월,4월,4월,4월,5월,5월,5월,6월,6월,6월,7월,7월,7월,8월,8월,8월,9월,9월,9월,10월,10월,10월,11월,11월,11월,12월,12월,12월,전체,전체,전체,1월,1월,1월,2월,2월,2월,3월,3월,3월,4월,4월,4월,5월,5월,5월,6월,6월,6월,7월,7월,7월,8월,8월,8월,9월,9월,9월,10월,10월,10월,11월,11월,11월,12월,12월,12월
"1당음주정도별(1)","1당음주정도별(2)",주야별(1),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명)
"음주운전","0.03~0.049%",주,214,4,374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,6,26,0,47,31,0,48,31,0,61,45,2,75,42,2,76,36,0,61,365,8,569,23,1,35,31,0,42,22,1,33,28,0,49,28,0,47,33,2,62,32,0,56,36,0,49,26,2,43,38,1,55,35,1,49,33,0,49,307,6,485,22,0,41,18,0,31,23,1,39,32,0,49,29,0,40,35,2,62,18,1,26,19,0,35,28,0,40,27,2,38,31,0,48,25,0,36,328,2,509,17,0,34,21,0,33,19,0,22,29,0,45,20,0,28,24,0,34,29,0,42,22,0,39,43,1,67,35,1,54,31,0,47,38,0,64,326,5,535,18,0,23,19,0,30,32,1,66,27,0,47,25,0,41,28,1,40,30,1,47,30,0,50,36,0,53,25,0,48,25,2,45,31,0,45
"음주운전","0.03~0.049%",야,243,8,350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,10,25,0,34,28,1,35,29,0,42,41,4,57,45,0,68,68,3,104,562,17,877,51,2,80,40,0,67,54,0,82,38,2,53,41,1,65,48,1,77,41,1,59,49,1,67,53,1,89,54,2,93,48,5,73,45,1,72,490,6,750,51,3,74,52,0,81,42,0,60,32,0,44,32,0,53,32,0,46,37,1,61,42,1,59,32,1,61,42,0,61,41,0,76,55,0,74,451,9,670,55,0,89,45,2,66,36,1,52,34,2,50,31,0,44,27,0,38,29,0,55,32,1,38,31,0,41,39,1,54,41,1,55,51,1,88,434,5,650,46,1,78,32,0,58,31,1,36,30,1,54,18,0,32,39,0,50,33,0,51,30,0,35,46,0,62,44,1,64,38,0,61,47,1,69
"음주운전","0.05%~0.079%",주,903,30,1524,98,1,164,83,3,157,95,1,162,90,1,148,94,2,168,93,1,153,40,4,62,55,1,92,64,3,99,66,3,98,68,8,118,57,2,103,708,12,1152,56,2,78,59,0,86,50,0,75,68,2,128,58,1,101,52,0,91,64,1,102,71,4,135,38,0,56,57,1,88,75,0,122,60,1,90,610,12,937,55,2,79,45,1,70,44,0,61,54,0,72,55,0,95,50,3,71,48,0,79,39,1,65,59,0,95,51,3,77,49,0,85,61,2,88,659,18,1044,54,0,98,35,1,47,37,1,49,51,2,78,57,1,92,60,4,95,62,1,95,47,1,76,57,1,103,73,2,117,67,2,105,59,2,89,630,7,1028,62,0,101,48,1,91,50,0,78,54,0,77,48,0,80,44,0,67,51,1,83,43,2,72,65,0,112,44,0,66,59,1,102,62,2,99
"음주운전","0.05%~0.079%",야,2032,47,3316,224,6,353,217,3,404,256,7,445,223,4,365,221,8,339,154,4,259,86,4,126,85,2,140,124,1,202,126,3,202,137,0,189,179,5,292,1672,43,2647,137,2,209,151,3,255,152,8,242,147,3,239,139,2,224,134,3,221,121,5,180,137,5,217,97,1,155,142,6,218,148,5,235,167,0,252,1493,40,2280,168,4,258,147,5,226,120,1,187,116,4,193,109,5,142,106,1,143,102,4,162,103,1,160,99,4,149,123,3,199,138,3,225,162,5,236,1628,41,2544,181,2,297,155,3,223,148,3,220,122,2,194,124,4,171,91,3,133,116,4,182,95,6,158,112,1,168,122,6,192,133,3,193,229,4,413,1341,28,2041,184,2,321,117,2,188,134,3,198,115,1,179,100,5,144,82,4,112,100,3,135,89,4,139,116,1,177,92,2,124,98,0,160,114,1,164
"음주운전","0.08%~0.149%",주,1501,21,2475,76,1,135,92,3,149,108,2,187,132,2,221,106,1,177,97,1,154,108,1,163,133,0,233,147,4,245,191,3,313,150,1,239,161,2,259,1737,19,2844,142,3,227,144,4,234,145,4,241,150,0,233,142,4,257,133,0,219,154,1,253,134,1,213,151,1,232,160,0,308,162,0,249,120,1,178,1331,10,2122,98,0,154,99,0,165,94,1,161,103,0,173,109,3,165,93,0,145,130,1,191,119,2,177,126,0,217,113,1,178,143,1,227,104,1,169,1425,13,2342,92,2,137,69,0,116,86,1,153,101,0,180,123,3,207,112,2,178,139,1,236,120,0,185,143,0,244,151,0,258,127,1,188,162,3,260,1408,12,2301,124,1,192,99,0,178,128,2,218,113,3,159,120,0,205,113,1,191,101,0,164,124,2,185,115,0,187,108,0,183,133,2,225,130,1,214
"음주운전","0.08%~0.149%",야,5092,52,8383,349,2,604,314,3,562,423,5,677,402,2,687,361,2,601,343,6,529,305,4,481,404,11,624,467,4,762,518,4,855,564,6,944,642,3,1057,6249,83,10196,481,7,805,592,4,988,613,11,976,593,7,971,497,6,831,459,6,755,538,7,874,428,10,722,498,8,775,510,8,857,514,5,812,526,4,830,5493,59,8694,575,7,916,510,3,819,526,4,835,450,4,721,429,4,681,378,6,588,352,7,540,352,1,542,368,7,544,486,6,777,536,6,856,531,4,875,5093,59,8101,504,2,849,399,5,650,464,3,696,490,6,788,365,6,573,405,5,671,340,9,534,344,2,517,347,5,548,404,6,647,445,8,670,586,2,958,4054,37,6386,427,3,715,393,6,628,350,1,529,322,2,493,293,1,480,281,3,427,325,3,508,264,1,427,293,1,433,279,2,447,370,8,556,457,6,743
"음주운전","0.15%~0.199%",주,873,11,1448,55,0,80,33,1,62,55,0,101,78,0,121,97,2,150,100,1,139,67,1,111,93,1,156,87,1,157,62,1,115,74,2,138,72,1,118,847,4,1398,54,1,95,52,0,84,70,0,136,69,0,106,101,0,156,56,0,95,98,0,159,91,0,164,79,1,127,74,0,120,62,2,87,41,0,69,672,5,1105,38,0,60,37,0,59,53,0,85,52,1,89,76,2,120,77,0,126,64,0,113,60,0,107,59,0,92,61,0,113,48,1,73,47,1,68,777,7,1312,41,0,64,37,0,58,35,0,54,65,1,103,94,1,154,86,2,141,88,0,139,71,0,132,75,1,139,66,1,126,55,0,93,64,1,109,731,9,1147,49,0,90,50,0,73,59,0,99,57,3,99,70,2,103,61,0,93,83,1,119,71,1,107,69,0,103,53,1,80,53,0,86,56,1,95
