연도,전체,남(성별),여(성별),중학교(학교급),고등학교(학교급),일반계고(학교급),특성화계고(학교급)
2005,27,27,26.9,18.2,42.2,37.1,55.3
2006,28.6,30.5,26.5,18.2,40.8,35.2,55.6
2007,27.8,29.6,25.7,18.5,38.2,33.2,51.9
2008,24.5,26.1,22.6,15.1,34.5,30.3,46.7
2009,21.1,23.7,18.2,13.3,29.1,25,41.8
2010,21.1,23.5,18.3,13.3,28.9,25,41.3
2011,20.6,23.7,17.1,12,29,24.8,43.2
2012,19.4,22.7,15.8,10.3,28.2,24.5,40.5
2013,16.3,19.4,12.8,8.3,23.8,21.3,36.1
2014,16.7,20.5,12.6,8.3,24.6,21.7,38.1
2015,16.7,20,13.1,7.4,24.9,0,0
2016,15,17.2,12.5,6.5,21.9,0,0
2017,16.1,18.2,13.7,7.6,23.0,0,0
2018,16.9,18.7,14.9,8.5,24.2,0,0
2019,15.0,16.9,13.0,7.6,21.8,0,0
2020,10.7,12.1,9.1,5.4,15.9,0,0
2021,10.7,12.4,8.9,5.6,16,0,0
2022,13.0,15.0,10.9,7.0,19.5,0,0
